iteration,Ux_initial,Ux_linear_final,Uy_initial,Uy_linear_final,Uz_initial,Uz_linear_final,p_initial,p_linear_final,epsilon_initial,epsilon_linear_final,k_initial,k_linear_final,continuity_local,continuity_global,continuity_cumulative
1.0,1.0,0.03008233948,1.0,0.04780168279,1.0,0.03181210524,1.0,0.03596537707,0.3779532407,0.01470503615,1.0,0.03712477608,1.091938694,0.07362481791,0.07362481791
2.0,0.2983204243,0.007140952588,0.5968280708,0.01041783579,0.2354820808,0.008373809983,0.775952151,0.03746991612,0.5515410551,0.004531690997,0.5176209664,0.005083328411,1.012010864,-0.001154462912,0.07247035499
3.0,0.209127095,0.00348479813,0.4361378034,0.007302938605,0.218072939,0.005300443918,0.5481485759,0.02271264598,0.1056117541,0.0008728779772,0.1468751226,0.001687857004,0.4172816533,-0.03705016761,0.03542018739
4.0,0.156114463,0.007309039466,0.2375603431,0.006417560455,0.1365463003,0.002760476538,0.3973165929,0.01883949692,0.06926065775,0.0004273656102,0.1014865106,0.00475669036,0.4405584016,0.06172097373,0.09714116111
5.0,0.2241115241,0.00366681172,0.1745902783,0.003253707466,0.1353887226,0.003212145432,0.281063227,0.00865216678,0.08173662686,0.0005218390443,0.08700842862,0.000397117333,0.234627734,-0.01965024349,0.07749091763
6.0,0.216496949,0.003781093579,0.1257256908,0.002923786212,0.1006336148,0.002519555143,0.2867883691,0.006683419764,0.05914872132,0.000385213843,0.07169511517,0.0003841137639,0.1885745418,-0.0178314398,0.05965947783
7.0,0.1505944574,0.002400779303,0.1454238759,0.003293913893,0.07274359769,0.001872808625,0.2752457804,0.006327756331,0.05321087676,0.0002406387359,0.07247219864,0.0003833246429,0.1503751792,-0.02343475946,0.03622471836
8.0,0.06410792637,0.002753206845,0.1301167606,0.003011302547,0.04607505641,0.001247953741,0.2696057106,0.009340310166,0.03322118773,0.0001743669802,0.06151887829,0.0003389926406,0.2123267609,-0.03729151112,-0.001066792758
9.0,0.06658164592,0.002867641315,0.1128385552,0.003153789349,0.03038184589,0.0008916852698,0.2023883584,0.00356567359,0.04557971099,0.001977618731,0.06207204805,0.0003498390977,0.09551462987,-0.01904890322,-0.02011569598
10.0,0.08977924765,0.00130013376,0.09824768474,0.003082815767,0.02658895785,0.000796924209,0.1833800881,0.007151280749,0.03366974119,0.0001216057007,0.06346819396,0.0003603874849,0.2021413953,-0.02463857566,-0.04475427163
11.0,0.08000679198,0.001232773042,0.0851250034,0.002823553915,0.02472620615,0.000759553108,0.1750622443,0.00484678946,0.04600856051,0.002236939162,0.06485062018,0.0003595672411,0.1224606176,-0.02063418291,-0.06538845454
12.0,0.05923477186,0.0008868627322,0.06334243283,0.002144347725,0.02193448523,0.0006939511816,0.180675109,0.004232360548,0.05538775178,0.002665134839,0.0648067588,0.0003589100817,0.09806336683,0.006290051145,-0.0590984034
13.0,0.03608615556,0.000508206628,0.05240576265,0.001707937524,0.0186369047,0.000620647863,0.1773337993,0.003921323927,0.05923680779,0.002830874822,0.06367134922,0.0003523416313,0.08953721085,0.006557679891,-0.05254072351
14.0,0.02087112379,0.000879900497,0.05513413015,0.002067221335,0.01707319452,0.000604110625,0.1763155787,0.00784132081,0.05967223859,0.002854360836,0.0609880375,0.0003399927961,0.1678600453,-0.00661286782,-0.05915359133
15.0,0.02553328132,0.001270783801,0.05464119736,0.002243477473,0.01620067769,0.0005776333778,0.1712851909,0.00457063388,0.05879223848,0.002792450995,0.05780878756,0.0003248435815,0.09537670485,0.003731469663,-0.05542212167
16.0,0.02978835046,0.0004107537612,0.04957456434,0.00202336893,0.01552001287,0.0005535301018,0.164403676,0.003557552081,0.05665408643,0.002669245971,0.05450902644,0.0003053263968,0.07086377782,0.01190759564,-0.04351452603
17.0,0.02744209316,0.0003876421924,0.04117606492,0.001593934714,0.01454529647,0.0005277909118,0.1535732968,0.005853695332,0.05328366233,0.002482015631,0.05091626057,0.0002840410757,0.1102457711,0.0255909539,-0.01792357213
18.0,0.02272135399,0.0003071432563,0.03283758837,0.001138794157,0.01339940675,0.0005054316804,0.1374659549,0.003165897292,0.04938499129,0.002276177688,0.04763272046,0.0002625265724,0.06549714315,0.004328738331,-0.0135948338
19.0,0.01790889559,0.0008582860923,0.03386977999,0.001308731352,0.01257751873,0.0005028444883,0.1277096097,0.003588666493,0.04541954157,0.002083479656,0.04435885391,0.000241519986,0.06805527319,-0.00162976409,-0.01522459789
20.0,0.01453758024,0.0006109308233,0.03700209268,0.001593146456,0.0122697611,0.0005202590252,0.1094092718,0.005406941962,0.04166654448,0.001917525798,0.04135211399,0.000221979562,0.1174846697,0.0163764383,0.00115184041
21.0,0.01509744195,0.0007080745994,0.03858750625,0.001720289102,0.01215528918,0.0005327273736,0.1035703714,0.004049628323,0.03818183461,0.001771692852,0.03873548584,0.0002039942018,0.0854308352,0.004453950189,0.005605790599
22.0,0.01534680389,0.0001962250978,0.03602718723,0.001614775679,0.01191456128,0.0005343766871,0.09778384562,0.002500360314,0.03506950876,0.00163814335,0.03646046802,0.0001884911866,0.05429158039,-0.003655624138,0.001950166461
23.0,0.01408356871,0.0001791234629,0.03189643716,0.001386781332,0.01157408969,0.0005274228194,0.09903968344,0.002597929518,0.03257180876,0.001521453526,0.03448171521,0.0001746133426,0.05036825038,-0.006846862942,-0.004896696481
24.0,0.01206111409,0.0005807449037,0.02773595635,0.001149974558,0.01118633163,0.0005181394187,0.09679020482,0.002289501382,0.03051131489,0.001425377183,0.03275102764,0.0001626693846,0.04245027192,-0.003744897746,-0.008641594227
25.0,0.01054676287,0.0004802187022,0.02541186475,0.001028595473,0.01084543235,0.0005105105995,0.09475060951,0.002243519188,0.02874509332,0.001338266377,0.03131593857,0.0001531642163,0.03922663416,0.001088876162,-0.007552718064
26.0,0.01139318749,0.0001412011778,0.02452174606,0.001016127354,0.01055856539,0.0005037013456,0.08512294977,0.003897173576,0.02715523193,0.001267946483,0.02991905243,0.0001443930697,0.07166781575,-0.005097416601,-0.01265013467
27.0,0.01206882501,0.0001609145217,0.02353255812,0.0009884612683,0.01032604276,0.0004998592805,0.08487379249,0.003937932773,0.0258713158,0.001207293498,0.02866164363,0.0001371915279,0.06807885606,0.006348564996,-0.006301569669
28.0,0.01241895194,0.0001724776925,0.02225503847,0.0009265537129,0.01011824679,0.0004954717305,0.08063633026,0.00169844163,0.02460997208,0.00115286911,0.02762060123,0.0001306836148,0.02947242221,0.0004708163863,-0.005830753283
